epi_week,state,from_date,to_date,difference
189701,AL,1897-01-03,1897-01-09,7
189701,AL,1897-01-06,1897-01-12,7
189701,CA,1897-01-03,1897-01-09,7
189701,CA,1897-01-03,1897-01-09,7
189701,CA,1897-01-03,1897-01-09,7
189701,CA,1897-01-03,1897-01-09,7
189701,CO,1897-01-03,1897-01-09,7
189701,CO,1897-01-03,1897-01-09,7
189701,CO,1897-01-03,1897-01-09,7
189701,CO,1897-01-03,1897-01-09,7
189701,CT,1897-01-01,1897-01-07,7
189701,CT,1897-01-01,1897-01-07,7
189701,FL,1897-01-03,1897-01-09,7
189701,IL,1897-01-03,1897-01-09,7
189701,IL,1897-01-03,1897-01-09,7
189701,IL,1897-01-03,1897-01-09,7
189701,IL,1897-01-03,1897-01-09,7
189701,IL,1897-01-03,1897-01-09,7
189701,LA,1897-01-03,1897-01-09,7
189701,LA,1897-01-03,1897-01-09,7
189701,LA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-02,1897-01-08,7
189701,MA,1897-01-02,1897-01-08,7
189701,MA,1897-01-02,1897-01-08,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-03,1897-01-09,7
189701,MA,1897-01-02,1897-01-08,7
189701,MA,1897-01-02,1897-01-08,7
189701,MD,1897-01-03,1897-01-09,7
189701,MD,1897-01-03,1897-01-09,7
189701,MD,1897-01-03,1897-01-09,7
189701,MD,1897-01-03,1897-01-09,7
189701,ME,1897-01-03,1897-01-09,7
189701,ME,1897-01-03,1897-01-09,7
189701,ME,1897-01-03,1897-01-09,7
189701,MN,1897-01-03,1897-01-09,7
189701,MN,1897-01-03,1897-01-09,7
189701,MO,1897-01-03,1897-01-09,7
189701,MO,1897-01-03,1897-01-09,7
189701,MO,1897-01-03,1897-01-09,7
189701,NE,1897-01-03,1897-01-09,7
189701,NH,1897-01-03,1897-01-09,7
189701,NH,1897-01-03,1897-01-09,7
189701,NH,1897-01-03,1897-01-09,7
189701,NH,1897-01-03,1897-01-09,7
189701,NJ,1897-01-03,1897-01-09,7
189701,NJ,1897-01-03,1897-01-09,7
189701,NJ,1897-01-03,1897-01-09,7
189701,NJ,1897-01-04,1897-01-10,7
189701,NJ,1897-01-04,1897-01-10,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-03,1897-01-09,7
189701,NY,1897-01-05,1897-01-11,7
189701,NY,1897-01-05,1897-01-11,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-02,1897-01-08,7
189701,OH,1897-01-02,1897-01-08,7
189701,OH,1897-01-02,1897-01-08,7
189701,OH,1897-01-02,1897-01-08,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-01,1897-01-07,7
189701,OH,1897-01-01,1897-01-07,7
189701,OH,1897-01-01,1897-01-07,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-03,1897-01-09,7
189701,OH,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-05,1897-01-11,7
189701,PA,1897-01-05,1897-01-11,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,PA,1897-01-03,1897-01-09,7
189701,RI,1897-01-03,1897-01-09,7
189701,RI,1897-01-03,1897-01-09,7
189701,SC,1897-01-03,1897-01-09,7
189701,TN,1897-01-03,1897-01-09,7
189701,TN,1897-01-03,1897-01-09,7
189701,TN,1897-01-03,1897-01-09,7
189701,TX,1897-01-02,1897-01-08,7
189701,UT,1897-01-03,1897-01-09,7
189701,UT,1897-01-03,1897-01-09,7
189701,VA,1897-01-03,1897-01-09,7
189701,VA,1897-01-04,1897-01-10,7
189701,WA,1897-01-03,1897-01-09,7
189701,WA,1897-01-03,1897-01-09,7
189701,WI,1897-01-03,1897-01-09,7
189701,WI,1897-01-03,1897-01-09,7
189702,AL,1897-01-10,1897-01-16,7
189702,AL,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CT,1897-01-08,1897-01-14,7
189702,CT,1897-01-08,1897-01-14,7
189702,DC,1897-01-10,1897-01-16,7
189702,DC,1897-01-10,1897-01-16,7
189702,DC,1897-01-10,1897-01-16,7
189702,DC,1897-01-10,1897-01-16,7
189702,DE,1897-01-10,1897-01-16,7
189702,DE,1897-01-10,1897-01-16,7
189702,FL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IN,1897-01-10,1897-01-16,7
189702,LA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,ME,1897-01-10,1897-01-16,7
189702,ME,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
