week,NY_deaths,CA_deaths,IL_deaths
1,135,18.0,44.0
2,146,21.0,42.0
3,116,0.0,45.0
4,164,15.0,41.0
5,159,23.0,50.0
6,151,21.0,36.0
7,197,22.0,52.0
8,157,1.0,46.0
9,148,19.0,47.0
10,143,21.0,42.0
11,138,17.0,0.0
12,151,0.0,37.0
13,142,13.0,45.0
14,122,0.0,58.0
15,152,14.0,58.0
16,149,0.0,42.0
17,148,0.0,44.0
18,150,0.0,50.0
19,116,1.0,8.0
20,132,24.0,51.0
21,214,0.0,43.0
22,47,0.0,0.0
23,117,0.0,48.0
24,145,1.0,48.0
25,140,2.0,30.0
26,121,1.0,46.0
27,136,1.0,34.0
28,151,1.0,36.0
29,112,1.0,41.0
30,92,0.0,34.0
31,149,0.0,42.0
32,138,0.0,0.0
33,129,0.0,0.0
34,139,3.0,65.0
35,139,0.0,38.0
36,140,1.0,45.0
37,108,0.0,39.0
38,127,0.0,43.0
39,159,0.0,40.0
40,144,0.0,5.0
41,144,1.0,51.0
42,154,2.0,48.0
43,152,3.0,42.0
44,145,3.0,52.0
45,146,0.0,32.0
46,128,3.0,34.0
47,136,0.0,38.0
48,112,0.0,46.0
49,145,0.0,38.0
50,146,2.0,43.0
51,132,1.0,34.0
52,150,1.0,37.0
