week,NY_deaths,CA_deaths,IL_deaths
1,142,14.0,72.0
2,137,31.0,38.0
3,160,23.0,42.0
4,169,21.0,60.0
5,169,24.0,44.0
6,130,21.0,52.0
7,163,28.0,49.0
8,159,25.0,44.0
9,155,27.0,60.0
10,142,23.0,45.0
11,149,15.0,50.0
12,157,27.0,55.0
13,169,20.0,50.0
14,163,16.0,50.0
15,169,14.0,44.0
16,189,20.0,47.0
17,177,19.0,48.0
18,148,25.0,55.0
19,171,19.0,56.0
20,169,16.0,56.0
21,155,25.0,53.0
22,129,24.0,50.0
23,150,11.0,0.0
24,149,11.0,42.0
25,245,2.0,29.0
26,144,0.0,43.0
27,135,39.0,49.0
28,119,13.0,41.0
29,48,21.0,40.0
30,132,12.0,42.0
31,104,25.0,50.0
32,179,13.0,39.0
33,136,16.0,42.0
34,161,17.0,49.0
35,136,18.0,45.0
36,140,28.0,33.0
37,137,13.0,37.0
38,137,0.0,41.0
39,144,16.0,36.0
40,125,20.0,32.0
41,132,13.0,34.0
42,148,22.0,34.0
43,145,0.0,27.0
44,125,17.0,32.0
45,116,12.0,51.0
46,120,15.0,45.0
47,123,22.0,34.0
48,107,15.0,33.0
49,139,17.0,36.0
50,141,19.0,42.0
51,131,22.0,38.0
52,140,1.0,36.0
53,135,18.0,44.0
54,146,21.0,42.0
55,116,0.0,45.0
56,164,15.0,41.0
57,159,23.0,50.0
58,151,21.0,36.0
59,197,22.0,52.0
60,157,1.0,46.0
61,148,19.0,47.0
62,143,21.0,42.0
63,138,17.0,0.0
64,151,0.0,37.0
65,142,13.0,45.0
66,122,0.0,58.0
67,152,14.0,58.0
68,149,0.0,42.0
69,148,0.0,44.0
70,150,0.0,50.0
71,116,1.0,8.0
72,132,24.0,51.0
73,214,0.0,43.0
74,47,0.0,0.0
75,117,0.0,48.0
76,145,1.0,48.0
77,140,2.0,30.0
78,121,1.0,46.0
79,136,1.0,34.0
80,151,1.0,36.0
81,112,1.0,41.0
82,92,0.0,34.0
83,149,0.0,42.0
84,138,0.0,0.0
85,129,0.0,0.0
86,139,3.0,65.0
87,139,0.0,38.0
88,140,1.0,45.0
89,108,0.0,39.0
90,127,0.0,43.0
91,159,0.0,40.0
92,144,0.0,5.0
93,144,1.0,51.0
94,154,2.0,48.0
95,152,3.0,42.0
96,145,3.0,52.0
97,146,0.0,32.0
98,128,3.0,34.0
99,136,0.0,38.0
100,112,0.0,46.0
101,145,0.0,38.0
102,146,2.0,43.0
103,132,1.0,34.0
104,150,1.0,37.0
105,117,0.0,60.0
106,78,24.0,59.0
107,91,18.0,47.0
108,95,1.0,35.0
109,88,0.0,56.0
110,6,27.0,51.0
111,4,2.0,60.0
112,137,23.0,50.0
113,4,33.0,56.0
114,163,30.0,60.0
115,141,22.0,53.0
116,164,29.0,54.0
117,168,42.0,63.0
118,151,27.0,57.0
119,159,7.0,64.0
120,131,2.0,55.0
121,154,3.0,39.0
122,157,1.0,62.0
123,174,3.0,48.0
124,150,1.0,52.0
125,155,4.0,46.0
126,4128,3.0,53.0
127,139,3.0,52.0
128,166,5.0,48.0
129,136,4.0,51.0
130,141,2.0,80.0
131,158,2.0,36.0
132,138,2.0,37.0
133,145,1.0,0.0
134,148,5.0,4.0
135,122,4.0,3.0
136,136,2.0,0.0
137,157,2.0,46.0
138,141,2.0,34.0
139,175,4.0,43.0
140,148,7.0,35.0
141,149,1.0,40.0
142,139,2.0,62.0
143,149,2.0,33.0
144,143,0.0,43.0
145,132,1.0,43.0
146,155,4.0,28.0
147,152,1.0,37.0
148,159,7.0,49.0
149,145,6.0,43.0
150,141,1.0,41.0
151,162,5.0,49.0
152,161,4.0,45.0
153,176,4.0,46.0
154,168,6.0,50.0
155,178,8.0,0.0
